id,community_names,region,price,total_price,house_types,area,orientation,decoration,floor_levels,build_time,building_types
52,华威西里 ,潘家园,"42,349元/平",238,2室1厅,56.2平米,南 北,简装,顶层(共6层),1984年,板楼
53,幸福东区 ,顺义城,"27,863元/平",200,2室1厅,71.78平米,南,简装,20层,2002年,塔楼
54,荣丰2008 ,广安门,"92,190元/平",445,1室0厅,48.27平米,西,精装,低楼层(共20层),2008年,塔楼
55,天恒旭辉7号院 ,大兴新机场,"17,915元/平",133,2室1厅,74.24平米,南 北,其他,低楼层(共10层),2018年,板楼
56,光明楼 ,广渠门,"85,169元/平",495,3室1厅,58.12平米,东 西,简装,中楼层(共5层) ,,板楼
57,康静里 ,东坝,"38,525元/平",235,2室1厅,61平米,东 西,精装,中楼层(共6层) ,,板楼
58,香悦四季东区 ,马坡,"33,653元/平",299,3室1厅,88.85平米,南 北,简装,低楼层(共9层),2010年,板楼
59,东方太阳城 ,顺义其它,"31,167元/平",398,3室2厅,127.7平米,南 北,简装,底层(共4层) ,,板楼
60,管庄北一里 ,管庄,"30,185元/平",170,2室0厅,56.32平米,南 北,简装,顶层(共5层) ,,板楼
61,东方太阳城 ,顺义其它,"31,167元/平",398,3室2厅,127.7平米,南 北,简装,底层(共4层) ,,板楼
62,行宫园 ,良乡,"23,518元/平",163,2室1厅,69.31平米,南 北,精装,中楼层(共6层) ,,板楼
63,康静里 ,东坝,"38,525元/平",235,2室1厅,61平米,东 西,精装,中楼层(共6层) ,,板楼
64,万年花城四期 ,玉泉营,"58,053元/平",412,1室1厅,70.97平米,北,精装,中楼层(共27层),2008年,塔楼
65,长阳半岛怡和南路10号院 ,长阳,"41,163元/平",289,1室1厅,70.21平米,南,精装,底层(共11层),2015年,板楼
66,马坡花园一区 ,马坡,"20,321元/平",185,2室1厅,91.04平米,南 北,简装,顶层(共6层) ,,板楼
67,罗贤胡同 ,西单,"123,368元/平",718,2室1厅,58.2平米,南 北,精装,中楼层(共5层) ,,板楼
68,地杰长安驿 ,建国门外,"56,390元/平",545,1室1厅,96.65平米,东北,精装,高楼层(共30层),2009年,塔楼
69,首邑溪谷 ,高米店,"52,336元/平",242,2室1厅,46.24平米,南 北,其他,中楼层(共16层),2012年,板塔结合
70,中建国际城 ,顺义城,"34,772元/平",245,2室1厅,70.46平米,南 北,精装,低楼层(共15层) ,,板楼
71,高原街4号院 ,芍药居,"78,862元/平",460,2室1厅,58.33平米,南 北,精装,低楼层(共6层) ,,板楼
72,核桃园北里 ,东大桥,"97,191元/平",595,2室1厅,61.22平米,南 北,精装,中楼层(共6层),1984年,板楼
73,龙熙顺景甲区 ,大兴新机场,"25,448元/平",1650,6室2厅,648.4平米,南 北,其他,底层(共2层) ,,暂无数据
74,金茂逸墅 ,亦庄河西区,"69,241元/平",1060,4室2厅,153.09平米,南 北,精装,顶层(共9层) ,,板楼
75,首创悦溪汇 ,马坡,"17,223元/平",139,2室1厅,80.71平米,南 北,简装,底层(共7层) ,,板塔结合
76,双合家园C区 ,垡头,"36,581元/平",199,1室1厅,54.4平米,南,其他,高楼层(共22层),2013年,板楼
77,蓝调沙龙西区 ,九棵树(家乐福),"35,952元/平",200,1室1厅,55.63平米,东 北,精装,低楼层(共15层),2005年,板塔结合
78,桃花岛 ,梨园,"26,287元/平",282,3室1厅,107.28平米,南 北,精装,顶层(共6层),2007年,板楼
79,安翔里小区 ,健翔桥,"68,118元/平",288,1室1厅,42.28平米,南,简装,低楼层(共6层) ,,板楼
80,鸿坤理想城大满贯 ,西红门,"33,630元/平",216,1室1厅,64.23平米,西 东 北,简装,顶层(共18层),2011年,塔楼
81,新华联家园北区 ,果园,"35,066元/平",359,2室1厅,102.38平米,南 北,精装,中楼层(共7层),2004年,板楼
82,小黄庄前街3号院 ,和平里,"54,294元/平",208,1室1厅,38.31平米,南,简装,顶层(共6层),1992年,板楼
83,兴华公寓 ,三里屯,"136,021元/平",1080,2室1厅,79.4平米,东南 西北,其他,中楼层(共20层),1986年,塔楼
84,鸭子桥南里 ,菜户营,"73,921元/平",445,3室1厅,60.2平米,东 南 西,简装,底层(共6层) ,,板楼
85,益明园 ,马家堡,"51,259元/平",228,1室0厅,44.48平米,南,简装,顶层(共15层) ,,板楼
86,南庭新苑南区 ,新宫,"30,683元/平",152,1室1厅,49.54平米,西,简装,中楼层(共15层),2012年,塔楼
87,远见名苑 ,广安门,"109,086元/平",1125,3室2厅,103.13平米,东南,简装,低楼层(共26层),2004年,塔楼
88,左安浦园 ,左安门,"82,606元/平",435,1室1厅,52.66平米,西,简装,高楼层(共14层),2004年,板塔结合
89,兴华园 ,枣园,"27,959元/平",240,3室1厅,85.84平米,南 北,简装,顶层(共6层) ,,板楼
90,双惠苑1号院 ,双桥,"38,952元/平",373,2室1厅,95.76平米,南 北,精装,高楼层(共6层) ,,板楼
91,首开缇香郡 ,通州其它,"20,813元/平",185,3室1厅,88.89平米,南 西 北,简装,中楼层(共8层),2016年,板楼
92,前门东大街 ,前门,"78,252元/平",562,3室1厅,71.82平米,南 北,精装,中楼层(共12层),1979年,板楼
93,雪梨澳乡A区 ,西三旗,"60,300元/平",1120,3室2厅,185.74平米,南 北,精装,顶层(共4层) ,,板楼
94,南竺园 ,首都机场,"24,543元/平",157,2室1厅,63.97平米,南 北,简装,中楼层(共6层),1993年,板楼
95,万达广场公寓 ,CBD,"58,173元/平",720,2室1厅,123.77平米,东 南 北,精装,低楼层(共27层),2005年,塔楼
96,怡然家园6号院 ,角门,"23,624元/平",166,1室0厅,70.27平米,东南,简装,14层,2010年,板楼
97,阳光花园 ,角门,"68,870元/平",869,3室2厅,126.18平米,南 北,精装,16层,2010年,板楼
98,古城南路 ,古城,"39,938元/平",178,2室1厅,44.57平米,南 北,精装,顶层(共5层),1975年,板楼
99,政馨园三区 ,宋家庄,"51,321元/平",680,3室2厅,132.5平米,南 北,其他,中楼层(共12层),2003年,板楼
100,安华西里社区 ,安贞,"69,694元/平",459,2室1厅,65.86平米,南,精装,顶层(共16层),1986年,板楼
101,石韵浩庭 ,大望路,"99,069元/平",670,2室2厅,67.63平米,西南,简装,中楼层(共15层),2004年,板楼
102,福海棠·华府 ,马家堡,"49,138元/平",279,1室1厅,56.78平米,南,简装,低楼层(共14层),2014年,板塔结合
103,万润风景 ,菜户营,"60,493元/平",548,2室2厅,90.59平米,南 北,精装,中楼层(共11层),2006年,板楼
104,十里春风 ,通州其它,"14,609元/平",133,3室1厅,91.04平米,南 北,精装,高楼层(共27层),2020年,板塔结合
